
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
256           0x100           eCos kernel exception handler, architecture: MIPSEL, exception vector table base address: 0x80000200
384           0x180           eCos kernel exception handler, architecture: MIPSEL, exception vector table base address: 0x80000200
110844        0x1B0FC         Copyright string: "Copyright (C) 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009"
110993        0x1B191         eCos RTOS string reference: "eCos license, derived from the"
115880        0x1C4A8         CRC32 polynomial table, little endian
120640        0x1D740         eCos RTOS string reference: "eCos GDB stubs [via RedBoot] - built Apr 23 2014 / 10:41:47"
524304        0x80010         gzip compressed data, from Unix, last modified: 1970-01-01 00:00:00 (null date)
1441808       0x160010        gzip compressed data, from Unix, last modified: 1970-01-01 00:00:00 (null date)
1835008       0x1C0000        gzip compressed data, has original file name: "OVERTURE-65E_14.2.1.0.39.bin", from Unix, last modified: 2015-07-01 11:52:19
6308050       0x6040D2        gzip compressed data, last modified: 1970-01-01 00:00:00 (null date)
8126464       0x7C0000        gzip compressed data, has original file name: "OVERTURE-65E_15.2.0.0.53.bin", from Unix, last modified: 2016-01-28 09:55:24
12795716      0xC33F44        gzip compressed data, last modified: 1970-01-01 00:00:00 (null date)
12824484      0xC3AFA4        gzip compressed data, last modified: 1970-01-01 00:00:00 (null date)
14417920      0xDC0000        gzip compressed data, has original file name: "OVERTURE-65E_post.1.2.bin", from Unix, last modified: 2015-03-20 03:26:10

